date,mandi,district,crop,min_price,max_price,modal_price,arrivals_quintal
2024-01-01,Rajkot,Rajkot,groundnut,5200,5800,5500,1200
2024-01-02,Rajkot,Rajkot,groundnut,5300,5900,5600,980
2024-01-03,Rajkot,Rajkot,groundnut,5100,5700,5400,1350
2024-01-04,Rajkot,Rajkot,groundnut,5250,5850,5550,1100
2024-01-05,Rajkot,Rajkot,groundnut,5400,6000,5700,850
2024-01-06,Rajkot,Rajkot,groundnut,5500,6100,5800,750
2024-01-07,Rajkot,Rajkot,groundnut,5450,6050,5750,900
2024-01-08,Rajkot,Rajkot,groundnut,5350,5950,5650,1050
2024-01-09,Rajkot,Rajkot,groundnut,5200,5800,5500,1200
2024-01-10,Rajkot,Rajkot,groundnut,5150,5750,5450,1300
2024-01-11,Rajkot,Rajkot,groundnut,5300,5900,5600,950
2024-01-12,Rajkot,Rajkot,groundnut,5400,6000,5700,880
2024-01-13,Rajkot,Rajkot,groundnut,5500,6100,5800,760
2024-01-14,Rajkot,Rajkot,groundnut,5600,6200,5900,700
2024-01-15,Rajkot,Rajkot,groundnut,5650,6250,5950,680
2024-01-16,Rajkot,Rajkot,groundnut,5700,6300,6000,650
2024-01-17,Rajkot,Rajkot,groundnut,5750,6350,6050,620
2024-01-18,Rajkot,Rajkot,groundnut,5600,6200,5900,710
2024-01-19,Rajkot,Rajkot,groundnut,5500,6100,5800,800
2024-01-20,Rajkot,Rajkot,groundnut,5400,6000,5700,900
2024-01-21,Rajkot,Rajkot,groundnut,5300,5900,5600,1000
2024-01-22,Rajkot,Rajkot,groundnut,5200,5800,5500,1100
2024-01-23,Rajkot,Rajkot,groundnut,5250,5850,5550,1050
2024-01-24,Rajkot,Rajkot,groundnut,5350,5950,5650,950
2024-01-25,Rajkot,Rajkot,groundnut,5450,6050,5750,860
2024-01-26,Rajkot,Rajkot,groundnut,5550,6150,5850,780
2024-01-27,Rajkot,Rajkot,groundnut,5650,6250,5950,700
2024-01-28,Rajkot,Rajkot,groundnut,5700,6300,6000,660
2024-01-29,Rajkot,Rajkot,groundnut,5750,6350,6050,630
2024-01-30,Rajkot,Rajkot,groundnut,5800,6400,6100,600
2024-02-01,Junagadh,Junagadh,groundnut,5400,6000,5700,1500
2024-02-02,Junagadh,Junagadh,groundnut,5500,6100,5800,1400
2024-02-03,Junagadh,Junagadh,groundnut,5600,6200,5900,1300
2024-02-04,Junagadh,Junagadh,groundnut,5700,6300,6000,1200
2024-02-05,Junagadh,Junagadh,groundnut,5800,6400,6100,1100
2024-02-06,Junagadh,Junagadh,groundnut,5750,6350,6050,1150
2024-02-07,Junagadh,Junagadh,groundnut,5650,6250,5950,1250
2024-02-08,Junagadh,Junagadh,groundnut,5550,6150,5850,1350
2024-02-09,Junagadh,Junagadh,groundnut,5450,6050,5750,1450
2024-02-10,Junagadh,Junagadh,groundnut,5350,5950,5650,1550
2024-01-01,Surendranagar,Surendranagar,cotton,6500,7200,6850,800
2024-01-02,Surendranagar,Surendranagar,cotton,6600,7300,6950,750
2024-01-03,Surendranagar,Surendranagar,cotton,6700,7400,7050,700
2024-01-04,Surendranagar,Surendranagar,cotton,6800,7500,7150,680
2024-01-05,Surendranagar,Surendranagar,cotton,6900,7600,7250,650
2024-01-06,Surendranagar,Surendranagar,cotton,7000,7700,7350,620
2024-01-07,Surendranagar,Surendranagar,cotton,7100,7800,7450,600
2024-01-08,Surendranagar,Surendranagar,cotton,7050,7750,7400,610
2024-01-09,Surendranagar,Surendranagar,cotton,6950,7650,7300,640
2024-01-10,Surendranagar,Surendranagar,cotton,6850,7550,7200,670
2024-01-11,Surendranagar,Surendranagar,cotton,6750,7450,7100,700
2024-01-12,Surendranagar,Surendranagar,cotton,6650,7350,7000,730
2024-01-13,Surendranagar,Surendranagar,cotton,6550,7250,6900,760
2024-01-14,Surendranagar,Surendranagar,cotton,6450,7150,6800,790
2024-01-15,Surendranagar,Surendranagar,cotton,6350,7050,6700,820
2024-01-16,Surendranagar,Surendranagar,cotton,6300,7000,6650,840
2024-01-17,Surendranagar,Surendranagar,cotton,6400,7100,6750,810
2024-01-18,Surendranagar,Surendranagar,cotton,6500,7200,6850,780
2024-01-19,Surendranagar,Surendranagar,cotton,6600,7300,6950,750
2024-01-20,Surendranagar,Surendranagar,cotton,6700,7400,7050,720
2024-01-21,Surendranagar,Surendranagar,cotton,6800,7500,7150,690
2024-01-22,Surendranagar,Surendranagar,cotton,6900,7600,7250,660
2024-01-23,Surendranagar,Surendranagar,cotton,7000,7700,7350,630
2024-01-24,Surendranagar,Surendranagar,cotton,7100,7800,7450,605
2024-01-25,Surendranagar,Surendranagar,cotton,7200,7900,7550,580
2024-01-26,Surendranagar,Surendranagar,cotton,7300,8000,7650,560
2024-01-27,Surendranagar,Surendranagar,cotton,7250,7950,7600,570
2024-01-28,Surendranagar,Surendranagar,cotton,7150,7850,7500,590
2024-01-29,Surendranagar,Surendranagar,cotton,7050,7750,7400,610
2024-01-30,Surendranagar,Surendranagar,cotton,6950,7650,7300,640
2024-02-01,Gondal,Rajkot,cotton,6800,7500,7150,900
2024-02-02,Gondal,Rajkot,cotton,6900,7600,7250,870
2024-02-03,Gondal,Rajkot,cotton,7000,7700,7350,840
2024-02-04,Gondal,Rajkot,cotton,7100,7800,7450,810
2024-02-05,Gondal,Rajkot,cotton,7200,7900,7550,780
2024-02-06,Gondal,Rajkot,cotton,7300,8000,7650,750
2024-02-07,Gondal,Rajkot,cotton,7400,8100,7750,720
2024-02-08,Gondal,Rajkot,cotton,7350,8050,7700,730
2024-02-09,Gondal,Rajkot,cotton,7250,7950,7600,760
2024-02-10,Gondal,Rajkot,cotton,7150,7850,7500,790
2024-03-01,Amreli,Amreli,groundnut,5600,6200,5900,2000
2024-03-02,Amreli,Amreli,groundnut,5700,6300,6000,1900
2024-03-03,Amreli,Amreli,groundnut,5800,6400,6100,1800
2024-03-04,Amreli,Amreli,groundnut,5900,6500,6200,1700
2024-03-05,Amreli,Amreli,groundnut,6000,6600,6300,1600
2024-03-06,Amreli,Amreli,groundnut,6100,6700,6400,1500
2024-03-07,Amreli,Amreli,groundnut,6050,6650,6350,1550
2024-03-08,Amreli,Amreli,groundnut,5950,6550,6250,1650
2024-03-09,Amreli,Amreli,groundnut,5850,6450,6150,1750
2024-03-10,Amreli,Amreli,groundnut,5750,6350,6050,1850
